id,name,text,trans
0-chapter_name,,第5話 ・│・│・・│・,
0-synopsis,,現実世界で覇空戦争が行われている間、オロロジャイアは延々と演算を繰り返す。数多の悲劇が起こることを知りながら見過ごさねばならない苦悩は、オロロジャイアの精神を疲弊させる。人格が発生した楔は、その人格が滅びれば新たな人格が作られるが、次の人格が空の世界に生きる命達に寛容な保証はない。なるべく精神の疲弊を抑えようとしながら、オロロジャイアは演算を繰り返すのだった。,
10,,覇空戦争終結までの\n空の世界の出来事は、僕が干渉しても\n概ね流れが変わることがない。,
11,,それが、僕が多くの可能性を演算して\n演算世界を覗き見ることで得られた\nほぼほぼ事実と言っていい情報だ。,
12,,覇空戦争直後に今度は空の民が\n内部抗争からの世界崩壊を引き起こす、\nなんてパターンもあったりしたけど……,
13,,それは、僕が介入して情報を操作すれば\nなんとか回避できることがわかった。\nこれもほぼほぼ事実。,
14,,今、現実世界は星の民が空の世界を\n観測し、全空を掌握しようと\n動き始めたところくらい。,
15,,様々な悲劇が起こることを知っていて、\nそれを見過ごしながら僕は覇空戦争が\n終わるまで可能性を演算して待つ。,
16,,演算して、演算世界を覗いて、\nどうやって介入すれば\n世界が喪失せずに済むかを考える。,
17,,正直に言えば、辛い。,
18,,だって僕には人格がある。\n悲しい出来事を見たら悲しい。\n嬉しい出来事を見れば嬉しい。,
19,,なんで人格なんかがあるかと言えば、\n世界へ影響を与えることで楔もまた\n世界から影響を受ける訳だけど──,
20,,それだけが理由じゃない。\n破壊と再生のサイクルは、\n楔にもまた適用されるからだ。,
21,,破壊と再生のサイクルに取り込まれ\n人格が発生した楔は、その人格が\n滅びればまた新たな人格を得る。,
22,,その人格がヒトの子に、\n空に生きる命に、\n寛容である保証はない。,
23,,だから僕が空の世界にある不幸の総量を\n減らしたいと思うなら……なるべく、\nなるべく精神の疲労を避けるしかない。,
26,,……無理ゲーじゃない？,
27,,僕は何度も何度も思い返す。\n特異点となるべき子と旅をした、\n既に滅びた演算世界を。,
28,,現実世界では、あの子と\n旅をすることなんて無いのに。,
29,,特異点にとって、\nせめて少しでも空の世界が優しくあれと\n願いながら──,
30,,僕は、可能性を演算し続ける。\n世界の喪失を回避できる可能性を。,
31,オロロジャイア,さぁ、次はどんな介入を\n試してみよう……？,
31-sel1_txt,,魔物の出現数を増やす,
31-sel2_txt,,魔物の出現数を減らす,
33,オロロジャイア,空の世界における魂の循環について\n多少僕でも干渉できるんだから、\n魔物の発生にも同様……のはず？,
34,オロロジャイア,本当はこういうの、\nカムヅミの領分なんだけど\n因果といえば因果だし……,
35,オロロジャイア,ひとまず１回、\nやれるだけやってみよう……！,
48,魔物,グギャアアア！！,
50,ランスロット/兰斯洛特,<span class='scene-font-4'>怯まず進め！</span>\n巣の魔物は全て斬り捨てろ！,
51,騎士,はっ！,
52,魔物,キュ～……,
58,,抵抗があろうとなかろうと、\n魔物であるならば\nそいつは悪だ。,
59,ランスロット/兰斯洛特,…………,
60,騎士,隊長……,
61,ランスロット/兰斯洛特,子供だろうと、\n育てば人に害を成す。,
62,騎士,はっ……失礼しました……！,
63,ランスロット/兰斯洛特,森に逃げた魔物も含め、\n一匹たりとも逃すな！,
64,,そう、一匹たりとも。\n大人と子供の区別なく、\nその全てを一掃する。,
65,,この国から、この島から、\n叶うならばこの空の世界から！,
66,,それが俺の悲願だ。\nあの日からずっと──,
68,,ほんの少しの要領の良さで\n調子に乗った子供が、度胸試しに\n森へ行って魔物に襲われる。,
69,,よくある話だ。\n自業自得でもある。,
70,,死んだのが、\nその子供自身ではない、\nということ以外は。,
71,,あいつは泣き虫で優しい奴だった。\nほんの少し年上であるだけの俺を\n信頼して森についてきて、死んだ。,
73,,魔物は人間を区別しない。\n大人も子供も等しく\n命を奪い、食らう。,
74,,ならば俺も、\n全ての魔物の命を奪い、\n人間を守る。,
75,魔物,ギシャアアアア！！,
76,ランスロット/兰斯洛特,死ねぇぇええぇぇえええッッ！,
78,ランスロット/兰斯洛特,殺して、殺して、殺し尽くして、\nそうしたところで\n俺の幼馴染が戻ってくることはない。,
79,ランスロット/兰斯洛特,あの日の俺の罪が許される日は来ない。\nそうだとしても──,
83,オロロジャイア,空の世界における魂の循環について\n多少僕でも干渉できるんだから、\n魔物の発生にも同様……のはず？,
84,オロロジャイア,本当はこういうの、\nカムヅミの領分なんだけど\n因果といえば因果だし……,
85,オロロジャイア,ひとまず１回、\nやれるだけやってみよう……！,
98,,豊かになろうとして人は争う。\n星の民の支配を逃れてからも、\n空の世界の歴史は戦いの歴史だ。,
99,,我が国レヴィオンの土地は貧しく、\n資源に乏しい島。自然、他の島から\n物資を奪う戦いを繰り返してきた。,
100,,覇空戦争直後の時代であれば、\nそれもやむなしと周辺の島々でさえ\n思っていたかもしれないが──,
101,,数百年後の今となっては、\n我が国の在り方を\n野蛮と批判する声は大きい。,
102,,故に、力が必要だった。\n周囲を黙らせるだけの、圧倒的な力が。\n少なくとも王はそう考えていた。,
103,,その声に我が親友の立場が\n追い詰められるよりも早く、\n俺に何かができただろうか。,
104,,今となっては遅い悔悟さえも、\n「わかっている」と言いたげに\n親友の眼が俺を捉える。,
105,ユリウス/尤里乌斯,アル……ベール……,
106,アルベール/阿尔贝尔,ユリウス……！,
107,,王の求めに応じて進められた研究の末、\nユリウスは化け物に\nその身を奪われた。,
108,,最後の正気を晒す親友の前で、\n俺はこの期に及んで彼を救う方法が\n存在することを願ってやまない。,
109,,ああ、だが、\n全てが遅すぎる──！,
110,ユリウス/尤里乌斯,こ……ろし、たまえ……\n雷迅卿──,
111,,遅きに失した俺をその名で、\nお前が呼ぶのかユリウス。,
112,ユリウス/尤里乌斯,…………,
113,アルベール/阿尔贝尔,うああああああああああ！！,
114,,こうするしかない。\nわかっている。\nそれでも──,
115,,俺はこの一撃を、\n一生後悔するだろう。,
info,,,scene_evt230225_cp5_q1_s10
译者,,,
