id,name,text,trans
0-chapter_name,,第2R 勝ち獲りタイッ！,第2R 想要获得胜利！
0-synopsis,,巻物を持っているらしい魔鯛を釣るため、漁師カッタクリの協力を得て漁船に乗り込んだ一行。しかし目標の魔鯛は船よりも巨大だった。超巨大魔鯛はゴールドシップの竿の釣り針に食いつくも、ゴールドシップはあえなく海に引きずり込まれ一行に救出されることに、さらに魔鯛が怒って船に体当たりを始め、一行はやむを得ず海上から撤退するのだった。,为了钓上持有卷轴的魔鲷、得到渔夫卡塔库里的帮助一行人登上了渔船。但是目标魔鲷比船还要大。超巨大魔鲷咬上了黄金船的钓钩、一行人把轻易地被拽进了海里的黄金船救了回来。加上魔鲷开始生气地撞击渔船、一行无奈之下只好从海上撤退了。
1,メジロマックイーン,……というわけで、\n魔鯛とやらを捕獲するため\n漁船に乗り込んだわけですが……,……也就是说、\n为了捕获那什么魔鲷\n我们要坐上渔船么……
2,スペシャルウィーク,お魚を釣って巻物が手に入るって、\nどういうことなんでしょう？,把鱼钓上来然后把卷轴拿到手、\n是这样吧？
3,エデソ,うぷっ……\nさあ、そこまでは……,呕……\n撒、其他的我就不清楚了……
4,エデソ,しかし、解析の結果、\nとある魔鯛が巻物を持っているのは\n明らかで……おえ～……,但是、（根据）解析的结果、\n某个魔鲷持有卷轴这件事\n是很明确的……呕～……
5,ビィ/碧,おいおい……\nお前また酔ってんのかよ……,喂喂……\n你还在晕船啊……
6,,「魔鯛を釣り上げよ」という\n予想外の指示に一行は戸惑ったが……,一行对「把魔鲷钓上来」这预想外的\n的指示不知如何是好……
7,,東海テイオー達が元漁師の\nカッタクリに相談を持ちかけると、\n彼は快く漁に協力してくれたのだった。,姬塔一行和原渔夫的\n卡塔库里商量之后、\n他爽快地决定要来帮忙捕鱼。
8,トウカイテイオー,いきなりなのにありがとね、\nカッタクリ！,明明这么突然真是非常感谢、\n卡塔库里！
9,カッタクリ,なぁに、おらの人生で\nまた魔鯛漁に挑める日が来るたぁ……\nげにまっこと、有り難いじゃか！,没什么、没想到我的人生\n能再迎来去挑战钓魔鲷的一天……\n实在是很有趣、很难得嘛！
10,スペシャルウィーク,そんなにすごい魚なんですか？\n魔鯛って……,那个魔鲷……\n是那么厉害的鱼吗？
11,,一行の疑問に答えるように、\nカッタクリは魔鯛について熱弁する。,就像是为了回答一行的疑问、\n卡塔库里进行了关于魔鲷的热情演说。
12,,カッタクリが言うには、\n魔鯛を知らぬ漁師はいないが、\n釣った漁師はほとんどいないという。,据卡塔库里所说、\n虽然没有渔夫不知道魔鲷、\n钓上来过的渔夫也寥寥无几。
13,,非常に獰猛な海の暴君であり、\n普通の漁師たちは、獲るよりも\n命を「獲られる」ことを恐れる魚だと。,（魔鲷是）非常凶猛的海中暴君、\n普通的渔夫们、比起捕获它\n更加担心自己的命被它「捕获」。
14,カッタクリ,食うのはエヴィやカニがやき。\n己より大きなカニでも\nこじゃんと食いよるが。,（它）吃虾和螃蟹。\n对比自己还要大的螃蟹\n也是一口吃掉。
15,サイレンススズカ,大きなカニって、\nさっき砂浜で見た……？,大螃蟹是、\n刚才沙滩上看见的那种……？
16,ふたり/两人,ごくり……,（吞口水）……
