id,name,text,trans
0,エルタ/埃尔塔,姬塔さん、\nそれじゃあ行ってきます。\n帰りはきっと夜遅くになると思います。,姬塔，那么我要走了。\n应该要到深夜才会回来。
1,エルタ/埃尔塔,一年に一度の街の演奏会に\n呼んでいただけるなんて\n本当に光栄なことですよね。,叫我去参加这座城里\n一年一度的演奏会，真是非常荣幸。
2,エルタ/埃尔塔,でも実はちょっと緊張してるんです……\n姬塔さん達は依頼で\n来られませんし、心細くもあって……,但说实话，我有点紧张……\n姬塔你们有委托在身不能来，\n也让我觉得不安……
3,エルタ/埃尔塔,え……？\nこの包みはなんですか？,咦……？\n这包东西是什么？
4,エルタ/埃尔塔,っ！？\nバレンタイン……！？,诶！？\n情人节……！？
5,エルタ/埃尔塔,すっかり忘れていました……\n演奏会出演のお誘いをいただいてから\nずっと練習に夢中で……,我完全忘记了……\n收到演奏会的演出邀请之后，\n我一直专注于练习……
6,エルタ/埃尔塔,ありがとうございます、\n姬塔さん……！,非常感谢你，姬塔！
7,エルタ/埃尔塔,なんだか良いメロディを\n奏でられる気がしてきました！\n……行ってきますね！,这让我觉得我能出色地发挥了。\n……那么我要走了！
8,エルタ/埃尔塔,姬塔さん達もお気をつけて。\n帰ってきたら\n僕の歌を聴いてください！,姬塔你们也要多加小心。\n等你回来了，就请听听我的歌吧！
info,,,scene_s4_valentine_2025_v2_0_2002_4_3030244000_0
译者,,,psyche
