id,name,text,trans
0-chapter_name,,舞主の苦労,
0-synopsis,,ある日、温泉宿を訪れた姬塔達。先に温泉に入るというアンスリアと別れて温泉街をしばらく散策していると、大勢のファンに囲まれたユカタヴィラ姿のアンスリアを見つける。姬塔に救出されたアンスリアは、「一番大切な人である姬塔との逢瀬の邪魔をしないで」ときっぱりと告げファンを追い払い、姬塔との距離を詰めようとするのだった。,
1,,依頼の報酬で温泉宿の招待券を貰った\n姬塔達。,
2,,その後、一行は休暇を兼ねて\n温泉街にあるその宿を訪れていた。,
4,アンスリア/安苏莉娅,へぇ……この宿って\n随分珍しい造りをしてるのね。,
5,アンスリア/安苏莉娅,でも、こういうのも\n風情があっていいわね……,
6,,案内された部屋を見て\nアンスリアは\n興味深そうな表情を浮かべる。,
7,ビィ/碧,なぁなぁ、姬塔\nこれからどうするんだ？,
8,ビィ/碧,予定がないならよ、\nオイラとルリアと一緒に\n温泉街を見にいってみねぇか？,
8-sel1_txt,,賛成,
8-sel2_txt,,アンスリアはどうするの？,
10,ルリア/露莉亚,私、温泉卵って言うの\n食べてみたいです！,
11,ビィ/碧,オイラは温泉饅頭だな。,
12,ルリア/露莉亚,アンスリアさんも\n私達と一緒に行きませんか？,
13,アンスリア/安苏莉娅,……ごめんなさい。\n私は先に温泉に行こうと思ってるの。,
14,アンスリア/安苏莉娅,その……移動で結構、\n汗をかいちゃって……\nだから、汗を流したいのよ。,
15,アンスリア/安苏莉娅,姬塔に汗臭いって\n思われたくないし……,
16,ビィ/碧,なるほどな。\nそう言う事なら\nオイラ達だけで行くか。,
17,アンスリア/安苏莉娅,私？　私は先に温泉に\n行こうと思ってるわ。,
18,アンスリア/安苏莉娅,せっかくの温泉だし、\nゆっくり浸かりたいのよ。,
19,アンスリア/安苏莉娅,だから、私の事は\n気にしないで。,
20,ビィ/碧,それじゃ、オイラ達は\n温泉街を見に行こうぜ。,
21,,ビィの言葉に頷くと\n姬塔達はアンスリアと別れ、\n温泉街の散策に出るのであった。,
26,,アンスリアと別れた後、\n温泉街を散策して周る\n姬塔達。,
27,ルリア/露莉亚,はわぁ……温泉卵、\nトロトロで美味しかったです。,
28,ビィ/碧,なぁなぁ、次はあっちの店に……って、\nなんだ、この音？,
30,,音の方に目を向けると\nそこには血走った目をして、\nこちらへと走ってくる数多の人達の姿。,
31,男１,アンスリア！\n今いくぞ！,
32,男２,てめぇ、抜け駆けする気か！\nアンスリアに告白するのは俺だ！,
33,女,邪魔よ！　私がアンスリアと\nお近づきになるんだから！,
35,,そして、姬塔達の横を\n瞬く間に駆け抜けると\n何処かへと向かって走り去っていく。,
36,ルリア/露莉亚,あの……今の人達、\nアンスリアさんの名前を\n言ってませんでしたか？,
37,ビィ/碧,ああ……\nっていうか、前にも\nこんなことがあったよな？,
38,ルリア/露莉亚,はい……確かあの時も\n沢山の人達がアンスリアさんを\n追いかけてましたよね……,
39,ビィ/碧,…………,
40,ルリア/露莉亚,…………,
41,ビィ/碧,そうだぜ！　燃える姉ちゃんが\nスゲェ有名人だってこと、\nすっかり忘れてたぜ！,
41-sel1_txt,,アンスリアを探そう！,
43,ルリア/露莉亚,はい！,
44,,姬塔達は頷き合うと\n慌てて走り去った人達の後を\n追うのだった。,
50,,アンスリアを探して\n温泉街の中を走り回る\n姬塔達。,
51,,そんな中、一行は\n街の一角にものすごい人だかりが\nできているのを見つける。,
52,ルリア/露莉亚,はわわっ、凄い人です！,
53,ビィ/碧,なぁ、この人だかりって、\nもしかして……,
54,アンスリア/安苏莉娅,もう、いい加減にして！\n私に付いてこないでよ！,
55,,人だかりの中から突如響く、\nアンスリアの怒声。,
56,,しかし、その怒声に反し、\n人だかりはますます増えていく。,
57,ビィ/碧,はぁ……\nやっぱり、燃える姉ちゃんの\nファン達かよ……,
58,ルリア/露莉亚,あはは……相変わらず凄い人気ですね。,
59,ルリア/露莉亚,って、そんなことよりも早く、\nアンスリアさんを助けないと！,
60,,姬塔は頷くと\n慌てて人だかりの中に入っていく。,
62,,そして、姬塔は\nアンスリアの元までなんとか近づくと\nその手を掴む。,
63,アンスリア/安苏莉娅,っ！？\n勝手に私に触れないでっ！,
64,アンスリア/安苏莉娅,……って、姬塔？,
65,アンスリア/安苏莉娅,ご、ごめんなさい！\nまさか、姬塔だとは\n思ってなくて！,
66,アンスリア/安苏莉娅,そ、その……姬塔なら\nいくらでも私の手を握って……,
68,ビィ/碧,話は後にしろって。\nそれよりもさっさと\nこの人だかりから出ようぜ！,
69,,その言葉に頷くと\n姬塔はアンスリアの手を引き、\n人だかりの外へと連れ出す。,
72,アンスリア/安苏莉娅,ふふっ……\nなんだか、初めて助けてもらった時と\n同じね……,
73,アンスリア/安苏莉娅,あの時もこうやって\n姬塔が私の手を握って……,
79,ならず者/暴徒,くっ、てめぇら、\nアンスリアを絶対に逃がすな！,
84,ビィ/碧,お、おいおい、\nまだ、こんなにいんのかよ。,
85,ルリア/露莉亚,あう……\nまだまだ、集まってきてる\nみたいです！,
86,ビィ/碧,と、とりあえず、逃げるぞ！\n姬塔、\nルリア、燃える姉ちゃん！,
92,アンスリア/安苏莉娅,やっぱり、私、姬塔の事……,
97,,人だかりから抜け出した後、\n身を隠す姬塔達。,
98,アンスリア/安苏莉娅,ありがとう。\n助かったわ。,
99,ビィ/碧,にしても燃える姉ちゃん、\n相変わらずスゲェ人気者だよな。,
100,アンスリア/安苏莉娅,人気なのは嬉しいけれど、\n時と場所は選んでほしいわね……,
101,アンスリア/安苏莉娅,せっかく、姬塔との\n楽しい旅行なのに……,
102,男１,んなっ！\nそ、そいつと旅行だと！？,
103,ルリア/露莉亚,はわっ！？\nい、いつの間に！,
104,,慌てて振り向くと\nそこにはアンスリアを求める\nファン達の姿があった。,
105,ビィ/碧,もう、見つかったのかよ！\n本当しつけぇな！,
106,ルリア/露莉亚,ど、どうします？\nまた、どこかに走って逃げ──,
107,アンスリア/安苏莉娅,いいえ、私が追い払うわ。\nこれ以上、姬塔達との\n温泉旅行を邪魔されるのは癪だもの。,
